TransactionID,Date,CustomerName,City,State,Category,Product,Quantity,UnitPrice,Discount,SalesRep,Region,Notes
TXN-1023,01/02/2024,Blue Ridge LLC,Charlotte,NC,Electronics,Keyboard,12,54.99,0.0,Tom Brooks,Central,Standard delivery
TXN-1027,01/04/2024,Sunrise Trading,Miami,FL,Furniture,Bookshelf,18,189.99,0.0,Maria Santos,West,N/A
TXN-1036,01/05/2024,Sunrise Trading,Miami,FL,Furniture,File Cabinet,20,239.99,0.2,Maria Santos,West,Express shipping
TXN-1005,01/07/2024,Redwood Partners,Sacramento,CA,Electronics,Webcam,5,79.99,0.0,Tom Brooks,Central,Loyalty reward
TXN-1015,01/09/2024,Peak Solutions,Denver,CO,Office Supplies,Ballpoint Pens,13,3.49,0.15,Maria Santos,West,N/A
TXN-1040,01/09/2024,Pinecrest Ltd,Atlanta,GA,Office Supplies,Desk Organizer,14,19.99,0.0,Chris Evans,North,N/A
TXN-1003,01/10/2024,Redwood Partners,Sacramento,CA,Electronics,Keyboard,2,54.99,0.0,Maria Santos,West,New customer
TXN-1048,01/11/2024,Peak Solutions,Denver,CO,Office Supplies,Sticky Notes,10,4.99,0.0,Maria Santos,West,Bulk discount applied
TXN-1016,01/12/2024,Pinecrest Ltd,Atlanta,GA,Office Supplies,Stapler,9,12.99,0.0,Maria Santos,West,N/A
TXN-1018,01/12/2024,Peak Solutions,Denver,CO,Electronics,USB Hub,1,24.99,0.2,Maria Santos,West,Bulk discount applied
TXN-1035,01/13/2024,Blue Ridge LLC,Charlotte,NC,Office Supplies,Stapler,6,12.99,0.0,Aisha Patel,South,Bulk discount applied
TXN-1025,01/17/2024,Lakeside Co,Minneapolis,MN,Office Supplies,Stapler,16,12.99,0.05,Jordan Lee,East,Standard delivery
TXN-1020,01/18/2024,Lakeside Co,Minneapolis,MN,Furniture,Office Chair,18,299.99,0.15,Tom Brooks,Central,N/A
TXN-1038,01/19/2024,Maple Leaf Corp,Toronto,ON,Electronics,USB Hub,9,24.99,0.05,Aisha Patel,South,Loyalty reward
TXN-1026,01/20/2024,Harbor Group,Seattle,WA,Furniture,Bookshelf,16,189.99,0.0,Jordan Lee,East,N/A
TXN-1037,01/21/2024,Maple Leaf Corp,Toronto,ON,Furniture,Standing Desk,1,449.99,0.0,Tom Brooks,Central,N/A
TXN-1041,01/21/2024,Lakeside Co,Minneapolis,MN,Furniture,Office Chair,6,299.99,0.0,Tom Brooks,Central,Bulk discount applied
